Name,Type[1],County[1],County 2,County 3,County 4,instance of,State
Acworth,city,Cobb County,,,,Q76514543,Georgia
Adairsville,city,Bartow County,,,,Q76514543,Georgia
Adel,city,Cook County,,,,Q76514543,Georgia
Adrian,city,Emanuel County,Johnson County,,,Q76514543,Georgia
Ailey,city,Montgomery County,,,,Q76514543,Georgia
Alapaha,town,Berrien County,,,,Q76514543,Georgia
Albany,city,Dougherty County,,,,Q76514543,Georgia
Aldora,town,Lamar County,,,,Q76514543,Georgia
Allenhurst,city,Liberty County,,,,Q76514543,Georgia
Allentown,town,Bleckley County,Laurens County,Twiggs County,Wilkinson County,Q76514543,Georgia
Alma,city,Bacon County,,,,Q76514543,Georgia
Alpharetta,city,Fulton County,,,,Q76514543,Georgia
Alston,town,Montgomery County,,,,Q76514543,Georgia
Alto,town,Banks County,Habersham County,,,Q76514543,Georgia
Ambrose,city,Coffee County,,,,Q76514543,Georgia
Americus,city,Sumter County,,,,Q76514543,Georgia
Andersonville,city,Sumter County,,,,Q76514543,Georgia
Arabi,town,Crisp County,,,,Q76514543,Georgia
Aragon,city,Polk County,,,,Q76514543,Georgia
Arcade,city,Jackson County,,,,Q76514543,Georgia
Argyle,town,Clinch County,,,,Q76514543,Georgia
Arlington,city,Calhoun County,Early County,,,Q76514543,Georgia
Arnoldsville,city,Oglethorpe County,,,,Q76514543,Georgia
Ashburn,city,Turner County,,,,Q76514543,Georgia
Athens,consolidated city-county,Clarke County,,,,Q76514543,Georgia
Atlanta,city,DeKalb County,Fulton County,,,Q76514543,Georgia
Attapulgus,city,Decatur County,,,,Q76514543,Georgia
Augusta,consolidated city-county,Richmond County,,,,Q76514543,Georgia
Austell,city,Cobb County,Douglas County,,,Q76514543,Georgia
Avalon,town,Stephens County,,,,Q76514543,Georgia
Avera,city,Jefferson County,,,,Q76514543,Georgia
Avondale Estates,city,DeKalb County,,,,Q76514543,Georgia
Baconton,city,Mitchell County,,,,Q76514543,Georgia
Baldwin,city,Banks County,Habersham County,,,Q76514543,Georgia
Ball Ground,city,Cherokee County,,,,Q76514543,Georgia
Barnesville,city,Lamar County,,,,Q76514543,Georgia
Bartow,town,Jefferson County,,,,Q76514543,Georgia
Barwick,city,Brooks County,Thomas County,,,Q76514543,Georgia
Bellville,city,Evans County,,,,Q76514543,Georgia
Berkeley Lake,city,Gwinnett County,,,,Q76514543,Georgia
Berlin,town,Colquitt County,,,,Q76514543,Georgia
Bethlehem,town,Barrow County,,,,Q76514543,Georgia
Between,town,Walton County,,,,Q76514543,Georgia
Bishop,town,Oconee County,,,,Q76514543,Georgia
Blairsville,city,Union County,,,,Q76514543,Georgia
Blakely,city,Early County,,,,Q76514543,Georgia
Bloomingdale,city,Chatham County,,,,Q76514543,Georgia
Blue Ridge,city,Fannin County,,,,Q76514543,Georgia
Bluffton,town,Clay County,,,,Q76514543,Georgia
Blythe,city,Burke County,Richmond County,,,Q76514543,Georgia
Bogart,town,Clarke County,Oconee County,,,Q76514543,Georgia
Bostwick,town,Morgan County,,,,Q76514543,Georgia
Bowdon,city,Carroll County,,,,Q76514543,Georgia
Bowersville,town,Hart County,,,,Q76514543,Georgia
Bowman,city,Elbert County,,,,Q76514543,Georgia
Braselton,town,Barrow County,Gwinnett County,Hall County,Jackson County,Q76514543,Georgia
Braswell,city,Paulding County,Polk County,,,Q76514543,Georgia
Bremen,city,Carroll County,Haralson County,,,Q76514543,Georgia
Brinson,town,Decatur County,,,,Q76514543,Georgia
Bronwood,town,Terrell County,,,,Q76514543,Georgia
Brookhaven,city,DeKalb County,,,,Q76514543,Georgia
Brooklet,city,Bulloch County,,,,Q76514543,Georgia
Brooks,town,Fayette County,,,,Q76514543,Georgia
Broxton,city,Coffee County,,,,Q76514543,Georgia
Buchanan,city,Haralson County,,,,Q76514543,Georgia
Buckhead,town,Morgan County,,,,Q76514543,Georgia
Buena Vista,city,Marion County,,,,Q76514543,Georgia
Buford,city,Gwinnett County,Hall County,,,Q76514543,Georgia
Butler,city,Taylor County,,,,Q76514543,Georgia
Byromville,town,Dooly County,,,,Q76514543,Georgia
Cadwell,town,Laurens County,,,,Q76514543,Georgia
Cairo,city,Grady County,,,,Q76514543,Georgia
Camak,town,Warren County,,,,Q76514543,Georgia
Camilla,city,Mitchell County,,,,Q76514543,Georgia
Canon,city,Franklin County,Hart County,,,Q76514543,Georgia
Carl,town,Barrow County,,,,Q76514543,Georgia
Carlton,city,Madison County,,,,Q76514543,Georgia
Carnesville,city,Franklin County,,,,Q76514543,Georgia
Carrollton,city,Carroll County,,,,Q76514543,Georgia
Cartersville,city,Bartow County,,,,Q76514543,Georgia
Cave Spring,city,Floyd County,,,,Q76514543,Georgia
Cecil,town,Cook County,,,,Q76514543,Georgia
Cedartown,city,Polk County,,,,Q76514543,Georgia
Centerville,city,Houston County,,,,Q76514543,Georgia
Centralhatchee,town,Heard County,,,,Q76514543,Georgia
Chamblee,city,DeKalb County,,,,Q76514543,Georgia
Chattahoochee Hills,city,Fulton County,,,,Q76514543,Georgia
Chauncey,city,Dodge County,,,,Q76514543,Georgia
Chester,town,Dodge County,,,,Q76514543,Georgia
Chickamauga,city,Walker County,,,,Q76514543,Georgia
Clarkesville,city,Habersham County,,,,Q76514543,Georgia
Clarkston,city,DeKalb County,,,,Q76514543,Georgia
Clayton,city,Rabun County,,,,Q76514543,Georgia
Clermont,town,Hall County,,,,Q76514543,Georgia
Cleveland,city,White County,,,,Q76514543,Georgia
Climax,city,Decatur County,,,,Q76514543,Georgia
Cobbtown,city,Tattnall County,,,,Q76514543,Georgia
Cochran,city,Bleckley County,,,,Q76514543,Georgia
Cohutta,town,Whitfield County,,,,Q76514543,Georgia
Colbert,city,Madison County,,,,Q76514543,Georgia
College Park,city,Clayton County,Fulton County,,,Q76514543,Georgia
Collins,city,Tattnall County,,,,Q76514543,Georgia
Columbus,consolidated city-county,Muscogee County,,,,Q76514543,Georgia
Comer,city,Madison County,,,,Q76514543,Georgia
Concord,town,Pike County,,,,Q76514543,Georgia
Conyers,city,Rockdale County,,,,Q76514543,Georgia
Cordele,city,Crisp County,,,,Q76514543,Georgia
Cornelia,city,Habersham County,,,,Q76514543,Georgia
Covington,city,Newton County,,,,Q76514543,Georgia
Crawford,city,Oglethorpe County,,,,Q76514543,Georgia
Crawfordville,city,Taliaferro County,,,,Q76514543,Georgia
Culloden,city,Monroe County,,,,Q76514543,Georgia
Cumming,city,Forsyth County,,,,Q76514543,Georgia
Cusseta,consolidated city-county,Chattahoochee County,,,,Q76514543,Georgia
Cuthbert,city,Randolph County,,,,Q76514543,Georgia
Dacula,city,Gwinnett County,,,,Q76514543,Georgia
Dahlonega,city,Lumpkin County,,,,Q76514543,Georgia
Daisy,city,Evans County,,,,Q76514543,Georgia
Dallas,city,Paulding County,,,,Q76514543,Georgia
Dalton,city,Whitfield County,,,,Q76514543,Georgia
Damascus,city,Early County,,,,Q76514543,Georgia
Danielsville,city,Madison County,,,,Q76514543,Georgia
Danville,town,Twiggs County,Wilkinson County,,,Q76514543,Georgia
Darien,city,McIntosh County,,,,Q76514543,Georgia
Dasher,town,Lowndes County,,,,Q76514543,Georgia
Davisboro,city,Washington County,,,,Q76514543,Georgia
Dawson,city,Terrell County,,,,Q76514543,Georgia
Dawsonville,city,Dawson County,,,,Q76514543,Georgia
Dearing,town,McDuffie County,,,,Q76514543,Georgia
Decatur,city,DeKalb County,,,,Q76514543,Georgia
Deepstep,town,Washington County,,,,Q76514543,Georgia
Demorest,city,Habersham County,,,,Q76514543,Georgia
Denton,city,Jeff Davis County,,,,Q76514543,Georgia
De Soto,city,Sumter County,,,,Q76514543,Georgia
Dexter,town,Laurens County,,,,Q76514543,Georgia
Dillard,city,Rabun County,,,,Q76514543,Georgia
Doerun,city,Colquitt County,,,,Q76514543,Georgia
Dooling,town,Dooly County,,,,Q76514543,Georgia
Doraville,city,DeKalb County,,,,Q76514543,Georgia
Douglas,city,Coffee County,,,,Q76514543,Georgia
Douglasville,city,Douglas County,,,,Q76514543,Georgia
Dudley,city,Laurens County,,,,Q76514543,Georgia
Duluth,city,Gwinnett County,,,,Q76514543,Georgia
Dunwoody,city,DeKalb County,,,,Q76514543,Georgia
Du Pont,town,Clinch County,,,,Q76514543,Georgia
East Dublin,city,Laurens County,,,,Q76514543,Georgia
East Ellijay,city,Gilmer County,,,,Q76514543,Georgia
East Point,city,Fulton County,,,,Q76514543,Georgia
Eatonton,city,Putnam County,,,,Q76514543,Georgia
Echols County,county,Echols County,,,,Q76514543,Georgia
Edge Hill,city,Glascock County,,,,Q76514543,Georgia
Edison,city,Calhoun County,,,,Q76514543,Georgia
Elberton,city,Elbert County,,,,Q76514543,Georgia
Ellaville,city,Schley County,,,,Q76514543,Georgia
Ellenton,town,Colquitt County,,,,Q76514543,Georgia
Ellijay,city,Gilmer County,,,,Q76514543,Georgia
Emerson,city,Bartow County,,,,Q76514543,Georgia
Enigma,town,Berrien County,,,,Q76514543,Georgia
Ephesus,city,Heard County,,,,Q76514543,Georgia
Eton,town,Murray County,,,,Q76514543,Georgia
Euharlee,city,Bartow County,,,,Q76514543,Georgia
Fairburn,city,Fulton County,,,,Q76514543,Georgia
Fairmount,city,Gordon County,,,,Q76514543,Georgia
Fargo,city,Clinch County,,,,Q76514543,Georgia
Fayetteville,city,Fayette County,,,,Q76514543,Georgia
Fitzgerald,city,Ben Hill County,Irwin County,,,Q76514543,Georgia
Flemington,city,Liberty County,,,,Q76514543,Georgia
Flovilla,city,Butts County,,,,Q76514543,Georgia
Flowery Branch,city,Hall County,,,,Q76514543,Georgia
Folkston,city,Charlton County,,,,Q76514543,Georgia
Forest Park,city,Clayton County,,,,Q76514543,Georgia
Forsyth,city,Monroe County,,,,Q76514543,Georgia
Fort Gaines,city,Clay County,,,,Q76514543,Georgia
Fort Valley,city,Peach County,,,,Q76514543,Georgia
Franklin,city,Heard County,,,,Q76514543,Georgia
Franklin Springs,city,Franklin County,,,,Q76514543,Georgia
Funston,town,Colquitt County,,,,Q76514543,Georgia
Gainesville,city,Hall County,,,,Q76514543,Georgia
Garden City,city,Chatham County,,,,Q76514543,Georgia
Garfield,city,Emanuel County,,,,Q76514543,Georgia
Gay,town,Meriwether County,,,,Q76514543,Georgia
Geneva,town,Talbot County,,,,Q76514543,Georgia
Georgetown,consolidated city-county,Quitman County,,,,Q76514543,Georgia
Gillsville,city,Banks County,Hall County,,,Q76514543,Georgia
Girard,town,Burke County,,,,Q76514543,Georgia
Glenwood,city,Wheeler County,,,,Q76514543,Georgia
Good Hope,town,Walton County,,,,Q76514543,Georgia
Gordon,city,Wilkinson County,,,,Q76514543,Georgia
Graham,city,Appling County,,,,Q76514543,Georgia
Grantville,city,Coweta County,,,,Q76514543,Georgia
Grayson,city,Gwinnett County,,,,Q76514543,Georgia
Greensboro,city,Greene County,,,,Q76514543,Georgia
Griffin,city,Spalding County,,,,Q76514543,Georgia
Grovetown,city,Columbia County,,,,Q76514543,Georgia
Gumbranch,city,Liberty County,,,,Q76514543,Georgia
Guyton,city,Effingham County,,,,Q76514543,Georgia
Hagan,city,Evans County,,,,Q76514543,Georgia
Hahira,city,Lowndes County,,,,Q76514543,Georgia
Hamilton,city,Harris County,,,,Q76514543,Georgia
Hampton,city,Henry County,,,,Q76514543,Georgia
Hapeville,city,Fulton County,,,,Q76514543,Georgia
Haralson,town,Coweta County,Meriwether County,,,Q76514543,Georgia
Harlem,city,Columbia County,,,,Q76514543,Georgia
Harrison,town,Washington County,,,,Q76514543,Georgia
Hartwell,city,Hart County,,,,Q76514543,Georgia
Helen,city,White County,,,,Q76514543,Georgia
Helena,city,Telfair County,Wheeler County,,,Q76514543,Georgia
Hephzibah,city,Richmond County,,,,Q76514543,Georgia
Higgston,town,Montgomery County,,,,Q76514543,Georgia
Hiltonia,city,Screven County,,,,Q76514543,Georgia
Hinesville,city,Liberty County,,,,Q76514543,Georgia
Hiram,city,Paulding County,,,,Q76514543,Georgia
Hoboken,city,Brantley County,,,,Q76514543,Georgia
Hogansville,city,Troup County,,,,Q76514543,Georgia
Holly Springs,city,Cherokee County,,,,Q76514543,Georgia
Homeland,city,Charlton County,,,,Q76514543,Georgia
Homerville,city,Clinch County,,,,Q76514543,Georgia
Hoschton,city,Jackson County,,,,Q76514543,Georgia
Hull,city,Madison County,,,,Q76514543,Georgia
Ila,city,Madison County,,,,Q76514543,Georgia
Iron City,town,Seminole County,,,,Q76514543,Georgia
Irwinton,city,Wilkinson County,,,,Q76514543,Georgia
Ivey,town,Wilkinson County,,,,Q76514543,Georgia
Jackson,city,Butts County,,,,Q76514543,Georgia
Jacksonville,town,Telfair County,,,,Q76514543,Georgia
Jakin,city,Early County,,,,Q76514543,Georgia
Jefferson,city,Jackson County,,,,Q76514543,Georgia
Jenkinsburg,city,Butts County,,,,Q76514543,Georgia
Jersey,town,Walton County,,,,Q76514543,Georgia
Jesup,city,Wayne County,,,,Q76514543,Georgia
Johns Creek,city,Fulton County,,,,Q76514543,Georgia
Jonesboro,city,Clayton County,,,,Q76514543,Georgia
Junction City,town,Talbot County,,,,Q76514543,Georgia
Kennesaw,city,Cobb County,,,,Q76514543,Georgia
Keysville,city,Burke County,,,,Q76514543,Georgia
Kingsland,city,Camden County,,,,Q76514543,Georgia
Kingston,city,Bartow County,,,,Q76514543,Georgia
Kite,town,Johnson County,,,,Q76514543,Georgia
LaFayette,city,Walker County,,,,Q76514543,Georgia
LaGrange,city,Troup County,,,,Q76514543,Georgia
Lake City,city,Clayton County,,,,Q76514543,Georgia
Lavonia,city,Franklin County,Hart County,,,Q76514543,Georgia
Lawrenceville,city,Gwinnett County,,,,Q76514543,Georgia
Leary,city,Calhoun County,,,,Q76514543,Georgia
Leesburg,city,Lee County,,,,Q76514543,Georgia
Lenox,town,Cook County,,,,Q76514543,Georgia
Leslie,city,Sumter County,,,,Q76514543,Georgia
Lexington,city,Oglethorpe County,,,,Q76514543,Georgia
Lilburn,city,Gwinnett County,,,,Q76514543,Georgia
Lilly,city,Dooly County,,,,Q76514543,Georgia
Lincolnton,city,Lincoln County,,,,Q76514543,Georgia
Lithonia,city,DeKalb County,,,,Q76514543,Georgia
Locust Grove,city,Henry County,,,,Q76514543,Georgia
Loganville,city,Gwinnett County,Walton County,,,Q76514543,Georgia
Lone Oak,town,Meriwether County,,,,Q76514543,Georgia
Lookout Mountain,city,Walker County,,,,Q76514543,Georgia
Louisville,city,Jefferson County,,,,Q76514543,Georgia
Lovejoy,city,Clayton County,,,,Q76514543,Georgia
Ludowici,city,Long County,,,,Q76514543,Georgia
Lula,city,Banks County,Hall County,,,Q76514543,Georgia
Lumber City,city,Telfair County,,,,Q76514543,Georgia
Lumpkin,city,Stewart County,,,,Q76514543,Georgia
Luthersville,city,Meriwether County,,,,Q76514543,Georgia
Lyerly,town,Chattooga County,,,,Q76514543,Georgia
McCaysville,city,Fannin County,,,,Q76514543,Georgia
McDonough,city,Henry County,,,,Q76514543,Georgia
McIntyre,town,Wilkinson County,,,,Q76514543,Georgia
Madison,city,Morgan County,,,,Q76514543,Georgia
Manassas,city,Tattnall County,,,,Q76514543,Georgia
Mansfield,city,Newton County,,,,Q76514543,Georgia
Marietta,city,Cobb County,,,,Q76514543,Georgia
Martin,town,Franklin County,Stephens County,,,Q76514543,Georgia
Maxeys,town,Oglethorpe County,,,,Q76514543,Georgia
Meansville,city,Pike County,,,,Q76514543,Georgia
Menlo,city,Chattooga County,,,,Q76514543,Georgia
Midville,city,Burke County,,,,Q76514543,Georgia
Milan,city,Dodge County,Telfair County,,,Q76514543,Georgia
Milledgeville,city,Baldwin County,,,,Q76514543,Georgia
Milner,city,Lamar County,,,,Q76514543,Georgia
Milton,city,Fulton County,,,,Q76514543,Georgia
Mitchell,town,Glascock County,,,,Q76514543,Georgia
Molena,city,Pike County,,,,Q76514543,Georgia
Monroe,city,Walton County,,,,Q76514543,Georgia
Monticello,city,Jasper County,,,,Q76514543,Georgia
Montrose,town,Laurens County,,,,Q76514543,Georgia
Moreland,town,Coweta County,,,,Q76514543,Georgia
Morgan,city,Calhoun County,,,,Q76514543,Georgia
Morganton,city,Fannin County,,,,Q76514543,Georgia
Morrow,city,Clayton County,,,,Q76514543,Georgia
Morven,city,Brooks County,,,,Q76514543,Georgia
Mountain City,town,Rabun County,,,,Q76514543,Georgia
Mountain Park,city,Cherokee County,Fulton County,,,Q76514543,Georgia
Mount Airy,town,Habersham County,,,,Q76514543,Georgia
Mount Zion,city,Carroll County,,,,Q76514543,Georgia
Nahunta,city,Brantley County,,,,Q76514543,Georgia
Nashville,city,Berrien County,,,,Q76514543,Georgia
Nelson,city,Cherokee County,Pickens County,,,Q76514543,Georgia
Newborn,town,Newton County,,,,Q76514543,Georgia
Newington,town,Screven County,,,,Q76514543,Georgia
Newnan,city,Coweta County,,,,Q76514543,Georgia
Newton,city,Baker County,,,,Q76514543,Georgia
Nicholson,city,Jackson County,,,,Q76514543,Georgia
Norcross,city,Gwinnett County,,,,Q76514543,Georgia
Norman Park,city,Colquitt County,,,,Q76514543,Georgia
North High Shoals,town,Oconee County,,,,Q76514543,Georgia
Norwood,city,Warren County,,,,Q76514543,Georgia
Nunez,city,Emanuel County,,,,Q76514543,Georgia
Oak Park,town,Emanuel County,,,,Q76514543,Georgia
Oakwood,city,Hall County,,,,Q76514543,Georgia
Ochlocknee,town,Thomas County,,,,Q76514543,Georgia
Ocilla,city,Irwin County,,,,Q76514543,Georgia
Oconee,city,Washington County,,,,Q76514543,Georgia
Odum,town,Wayne County,,,,Q76514543,Georgia
Offerman,city,Pierce County,,,,Q76514543,Georgia
Oliver,city,Screven County,,,,Q76514543,Georgia
Omega,city,Colquitt County,Tift County,,,Q76514543,Georgia
Orchard Hill,town,Spalding County,,,,Q76514543,Georgia
Oxford,city,Newton County,,,,Q76514543,Georgia
Palmetto,city,Coweta County,Fulton County,,,Q76514543,Georgia
Parrott,town,Terrell County,,,,Q76514543,Georgia
Patterson,city,Pierce County,,,,Q76514543,Georgia
Peachtree City,city,Fayette County,,,,Q76514543,Georgia
Peachtree Corners,city,Gwinnett County,,,,Q76514543,Georgia
Pelham,city,Mitchell County,,,,Q76514543,Georgia
Pembroke,city,Bryan County,,,,Q76514543,Georgia
Pendergrass,city,Jackson County,,,,Q76514543,Georgia
Perry,city,Houston County,Peach County,,,Q76514543,Georgia
Pinehurst,city,Dooly County,,,,Q76514543,Georgia
Pine Lake,city,DeKalb County,,,,Q76514543,Georgia
Pine Mountain,town,Harris County,Meriwether County,,,Q76514543,Georgia
Pineview,town,Wilcox County,,,,Q76514543,Georgia
Pitts,city,Wilcox County,,,,Q76514543,Georgia
Plains,city,Sumter County,,,,Q76514543,Georgia
Plainville,city,Gordon County,,,,Q76514543,Georgia
Portal,town,Bulloch County,,,,Q76514543,Georgia
Porterdale,city,Newton County,,,,Q76514543,Georgia
Port Wentworth,city,Chatham County,,,,Q76514543,Georgia
Poulan,city,Worth County,,,,Q76514543,Georgia
Powder Springs,city,Cobb County,,,,Q76514543,Georgia
Pulaski,town,Candler County,,,,Q76514543,Georgia
Quitman,city,Brooks County,,,,Q76514543,Georgia
Ranger,town,Gordon County,,,,Q76514543,Georgia
Ray City,city,Berrien County,,,,Q76514543,Georgia
Rayle,town,Wilkes County,,,,Q76514543,Georgia
Rebecca,city,Turner County,,,,Q76514543,Georgia
Register,town,Bulloch County,,,,Q76514543,Georgia
Remerton,city,Lowndes County,,,,Q76514543,Georgia
Rentz,town,Laurens County,,,,Q76514543,Georgia
Resaca,town,Gordon County,,,,Q76514543,Georgia
Rest Haven,town,Gwinnett County,Hall County,,,Q76514543,Georgia
Rhine,town,Dodge County,,,,Q76514543,Georgia
Riceboro,city,Liberty County,,,,Q76514543,Georgia
Richland,city,Stewart County,,,,Q76514543,Georgia
Riddleville,town,Washington County,,,,Q76514543,Georgia
Ringgold,city,Catoosa County,,,,Q76514543,Georgia
Riverdale,city,Clayton County,,,,Q76514543,Georgia
Riverside,town,Colquitt County,,,,Q76514543,Georgia
Roberta,city,Crawford County,,,,Q76514543,Georgia
Rochelle,city,Wilcox County,,,,Q76514543,Georgia
Rockmart,city,Polk County,,,,Q76514543,Georgia
Rocky Ford,town,Screven County,,,,Q76514543,Georgia
Roopville,town,Carroll County,,,,Q76514543,Georgia
Rossville,city,Walker County,,,,Q76514543,Georgia
Roswell,city,Fulton County,,,,Q76514543,Georgia
Royston,city,Franklin County,Hart County,Madison County,,Q76514543,Georgia
Rutledge,city,Morgan County,,,,Q76514543,Georgia
St. Marys,city,Camden County,,,,Q76514543,Georgia
Sale City,town,Mitchell County,,,,Q76514543,Georgia
Sandy Springs,city,Fulton County,,,,Q76514543,Georgia
Santa Claus,city,Toombs County,,,,Q76514543,Georgia
Sardis,city,Burke County,,,,Q76514543,Georgia
Sasser,town,Terrell County,,,,Q76514543,Georgia
Scotland,city,Telfair County,Wheeler County,,,Q76514543,Georgia
Screven,city,Wayne County,,,,Q76514543,Georgia
Senoia,city,Coweta County,,,,Q76514543,Georgia
Shady Dale,town,Jasper County,,,,Q76514543,Georgia
Sharon,city,Taliaferro County,,,,Q76514543,Georgia
Sharpsburg,town,Coweta County,,,,Q76514543,Georgia
Shellman,city,Randolph County,,,,Q76514543,Georgia
Shiloh,city,Harris County,,,,Q76514543,Georgia
Siloam,town,Greene County,,,,Q76514543,Georgia
Sky Valley,city,Rabun County,,,,Q76514543,Georgia
Smithville,city,Lee County,,,,Q76514543,Georgia
Smyrna,city,Cobb County,,,,Q76514543,Georgia
Snellville,city,Gwinnett County,,,,Q76514543,Georgia
Social Circle,city,Newton County,Walton County,,,Q76514543,Georgia
Soperton,city,Treutlen County,,,,Q76514543,Georgia
South Fulton,city,Fulton County,,,,Q76514543,Georgia
Sparks,town,Cook County,,,,Q76514543,Georgia
Sparta,city,Hancock County,,,,Q76514543,Georgia
Springfield,city,Effingham County,,,,Q76514543,Georgia
Stapleton,city,Jefferson County,,,,Q76514543,Georgia
Statesboro,city,Bulloch County,,,,Q76514543,Georgia
Stillmore,city,Emanuel County,,,,Q76514543,Georgia
Stockbridge,city,Henry County,,,,Q76514543,Georgia
Stone Mountain,city,DeKalb County,,,,Q76514543,Georgia
Stonecrest,city,DeKalb County,,,,Q76514543,Georgia
Sugar Hill,city,Gwinnett County,,,,Q76514543,Georgia
Summertown,city,Emanuel County,,,,Q76514543,Georgia
Summerville,city,Chattooga County,,,,Q76514543,Georgia
Sumner,town,Worth County,,,,Q76514543,Georgia
Sunny Side,city,Spalding County,,,,Q76514543,Georgia
Surrency,town,Appling County,,,,Q76514543,Georgia
Suwanee,city,Gwinnett County,,,,Q76514543,Georgia
Sycamore,city,Turner County,,,,Q76514543,Georgia
Sylvester,city,Worth County,,,,Q76514543,Georgia
Talking Rock,town,Pickens County,,,,Q76514543,Georgia
Tallapoosa,city,Haralson County,,,,Q76514543,Georgia
Tallulah Falls,town,Habersham County,Rabun County,,,Q76514543,Georgia
Talmo,town,Jackson County,,,,Q76514543,Georgia
Tarrytown,town,Montgomery County,,,,Q76514543,Georgia
Taylorsville,town,Bartow County,Polk County,,,Q76514543,Georgia
Temple,city,Carroll County,Haralson County,,,Q76514543,Georgia
Tennille,city,Washington County,,,,Q76514543,Georgia
Thomasville,city,Thomas County,,,,Q76514543,Georgia
Thomson,city,McDuffie County,,,,Q76514543,Georgia
Thunderbolt,town,Chatham County,,,,Q76514543,Georgia
Tifton,city,Tift County,,,,Q76514543,Georgia
Tiger,town,Rabun County,,,,Q76514543,Georgia
Tignall,town,Wilkes County,,,,Q76514543,Georgia
Toomsboro,town,Wilkinson County,,,,Q76514543,Georgia
Trenton,city,Dade County,,,,Q76514543,Georgia
Trion,town,Chattooga County,,,,Q76514543,Georgia
Tunnel Hill,city,Whitfield County,,,,Q76514543,Georgia
Turin,town,Coweta County,,,,Q76514543,Georgia
Twin City,city,Emanuel County,,,,Q76514543,Georgia
Tyrone,town,Fayette County,,,,Q76514543,Georgia
Ty Ty,city,Tift County,,,,Q76514543,Georgia
Unadilla,city,Dooly County,,,,Q76514543,Georgia
Union City,city,Fulton County,,,,Q76514543,Georgia
Union Point,city,Greene County,,,,Q76514543,Georgia
Uvalda,city,Montgomery County,,,,Q76514543,Georgia
Varnell,city,Whitfield County,,,,Q76514543,Georgia
Vernonburg,town,Chatham County,,,,Q76514543,Georgia
Vidette,city,Burke County,,,,Q76514543,Georgia
Vienna,city,Dooly County,,,,Q76514543,Georgia
Villa Rica,city,Carroll County,Douglas County,,,Q76514543,Georgia
Waco,city,Haralson County,,,,Q76514543,Georgia
Wadley,city,Jefferson County,,,,Q76514543,Georgia
Waleska,city,Cherokee County,,,,Q76514543,Georgia
Walnut Grove,town,Walton County,,,,Q76514543,Georgia
Walthourville,city,Liberty County,,,,Q76514543,Georgia
Warm Springs,city,Meriwether County,,,,Q76514543,Georgia
Warner Robins,city,Houston County,Peach County,,,Q76514543,Georgia
Warrenton,city,Warren County,,,,Q76514543,Georgia
Warwick,city,Worth County,,,,Q76514543,Georgia
Washington,city,Wilkes County,,,,Q76514543,Georgia
Watkinsville,town,Oconee County,,,,Q76514543,Georgia
Waverly Hall,town,Harris County,,,,Q76514543,Georgia
Waynesboro,city,Burke County,,,,Q76514543,Georgia
Webster County,county,Webster County,,,,Q76514543,Georgia
West Point,city,Harris County,Troup County,,,Q76514543,Georgia
Whigham,city,Grady County,,,,Q76514543,Georgia
White,city,Bartow County,,,,Q76514543,Georgia
White Plains,city,Greene County,,,,Q76514543,Georgia
Whitesburg,town,Carroll County,,,,Q76514543,Georgia
Willacoochee,city,Atkinson County,,,,Q76514543,Georgia
Williamson,city,Pike County,,,,Q76514543,Georgia
Winder,city,Barrow County,,,,Q76514543,Georgia
Winterville,city,Clarke County,,,,Q76514543,Georgia
Woodbine,city,Camden County,,,,Q76514543,Georgia
Woodbury,city,Meriwether County,,,,Q76514543,Georgia
Woodland,city,Talbot County,,,,Q76514543,Georgia
Woodstock,city,Cherokee County,,,,Q76514543,Georgia
Woodville,city,Greene County,,,,Q76514543,Georgia
Woolsey,town,Fayette County,,,,Q76514543,Georgia
Wrens,city,Jefferson County,,,,Q76514543,Georgia
Yatesville,town,Upson County,,,,Q76514543,Georgia
Young Harris,city,Towns County,,,,Q76514543,Georgia
Zebulon,city,Pike County,,,,Q76514543,Georgia
