Name,Description,Alias,State,instance of
"Abba, Georgia","unincorporated community in Georgia, United States","Abba, Georgia",Georgia,unincorporated community
"Abernathys Mill, Georgia","unincorporated community in Georgia, United States","Abernathys Mill, Georgia",Georgia,unincorporated community
"Achord, Georgia","unincorporated community in Georgia, United States","Achord, Georgia",Georgia,unincorporated community
"Acree, Georgia","unincorporated community in Georgia, United States","Acree, Georgia",Georgia,unincorporated community
"Adabelle, Georgia","unincorporated community in Georgia, United States","Adabelle, Georgia",Georgia,unincorporated community
"Adasburg, Georgia","unincorporated community in Georgia, United States","Adasburg, Georgia",Georgia,unincorporated community
Adelaide,"unincorporated community in Georgia, United States","Adelaide, Georgia",Georgia,unincorporated community
"Adgateville, Georgia","unincorporated community in Georgia, United States","Adgateville, Georgia",Georgia,unincorporated community
"Aerial, Georgia","unincorporated community in Georgia, United States","Aerial, Georgia",Georgia,unincorporated community
Afton,"unincorporated community in Georgia, United States","Afton, Georgia",Georgia,unincorporated community
Agricola,"unincorporated community in Georgia, United States","Agricola, Georgia",Georgia,unincorporated community
Ai,"unincorporated community in Georgia, United States","Ai, Georgia",Georgia,unincorporated community
"Aikenton, Georgia","unincorporated community in Georgia, United States","Aikenton, Georgia",Georgia,unincorporated community
"Air Line, Georgia","unincorporated community in Georgia, United States","Air Line, Georgia",Georgia,unincorporated community
Akridge,"unincorporated community in Georgia, United States","Akridge, Georgia",Georgia,unincorporated community
"Alexander, Georgia","unincorporated community in Georgia, United States","Alexander, Georgia",Georgia,unincorporated community
"Allatoona, Georgia","unincorporated community in Georgia, United States","Allatoona, Georgia",Georgia,unincorporated community
Allendale,"unincorporated community in Georgia, United States","Allendale, Gwinnett County, Georgia",Georgia,unincorporated community
"Almon, Georgia","unincorporated community in Georgia, United States","Almon, Georgia",Georgia,unincorporated community
"Alpine, Georgia","unincorporated community in Georgia, United States","Alpine, Georgia",Georgia,unincorporated community
Alps,"unincorporated community in Georgia, United States","Alps, Georgia",Georgia,unincorporated community
"Altamaha Park, Georgia","unincorporated community in Georgia, United States","Altamaha Park, Georgia",Georgia,unincorporated community
Altamaha Place,"unincorporated community in Georgia, United States","Altamaha Place, Georgia",Georgia,unincorporated community
"Altamaha, Georgia","unincorporated community in Georgia, United States","Altamaha, Georgia",Georgia,unincorporated community
"Alvaton, Georgia","unincorporated community in Georgia, United States","Alvaton, Georgia",Georgia,unincorporated community
"Alvin, Georgia","unincorporated community in Georgia, United States","Alvin, Georgia",Georgia,unincorporated community
Amicalola,"unincorporated community in Georgia, United States","Amicalola, Georgia",Georgia,unincorporated community
"Amity, Georgia","unincorporated community in Georgia, United States","Amity, Georgia",Georgia,unincorporated community
"Amsterdam, Georgia","unincorporated community in Georgia, United States","Amsterdam, Georgia",Georgia,unincorporated community
Anna,"unincorporated community in Georgia, United States","Anna, Georgia",Georgia,unincorporated community
"Anniedelle, Georgia","unincorporated community in Georgia, United States","Anniedelle, Georgia",Georgia,unincorporated community
Antioch,"unincorporated community in Georgia, United States","Antioch, Polk County, Georgia",Georgia,unincorporated community
"Antioch, Troup County, Georgia","unincorporated community in Georgia, United States","Antioch, Troup County, Georgia",Georgia,unincorporated community
"Aonia, Georgia","unincorporated community in Georgia, United States","Aonia, Georgia",Georgia,unincorporated community
"Apalachee, Georgia","unincorporated community in Georgia, United States","Apalachee, Georgia",Georgia,unincorporated community
"Archery, Georgia","unincorporated community in Georgia, United States","Archery, Georgia",Georgia,unincorporated community
"Armuchee, Georgia","unincorporated community in Georgia, United States","Armuchee, Georgia",Georgia,unincorporated community
Arnco Mills,"unincorporated community in Georgia, United States","Arnco Mills, Georgia",Georgia,unincorporated community
"Arnold Mill, Georgia","unincorporated community in Georgia, United States","Arnold Mill, Georgia",Georgia,unincorporated community
"Arp, Georgia","unincorporated community in Georgia, United States","Arp, Georgia",Georgia,unincorporated community
"Ascalon, Georgia","unincorporated community in Georgia, United States","Ascalon, Georgia",Georgia,unincorporated community
"Ashton, Georgia","unincorporated community in Georgia, United States","Ashton, Georgia",Georgia,unincorporated community
"Aska, Georgia","unincorporated community in Georgia, United States","Aska, Georgia",Georgia,unincorporated community
Atco,"unincorporated community in Georgia, United States","Atco, Georgia",Georgia,unincorporated community
Audubon,"unincorporated community in Georgia, United States","Audubon, Georgia",Georgia,unincorporated community
"Ausmac, Georgia","unincorporated community in Georgia, United States","Ausmac, Georgia",Georgia,unincorporated community
"Autney, Georgia","unincorporated community in Georgia, United States","Autney, Georgia",Georgia,unincorporated community
"Autreyville, Georgia","unincorporated community in Georgia, United States","Autreyville, Georgia",Georgia,unincorporated community
Avondale,"unincorporated community in Georgia, United States","Avondale, Georgia",Georgia,unincorporated community
"Axson, Georgia","unincorporated community in Georgia, United States","Axson, Georgia",Georgia,unincorporated community
"Ayersville, Georgia","unincorporated community in Georgia, United States","Ayersville, Georgia",Georgia,unincorporated community
"Babcock, Georgia","unincorporated community in Georgia, United States","Babcock, Georgia",Georgia,unincorporated community
Bairdstown,"unincorporated community in Georgia, United States","Bairdstown, Georgia",Georgia,unincorporated community
"Baldwinville, Georgia","unincorporated community in Georgia, United States","Baldwinville, Georgia",Georgia,unincorporated community
"Banning, Georgia","unincorporated community in Georgia, United States","Banning, Georgia",Georgia,unincorporated community
Bannockburn,"unincorporated community in Georgia, United States","Bannockburn, Georgia",Georgia,unincorporated community
"Barbers, Georgia","unincorporated community in Georgia, United States","Barbers, Georgia",Georgia,unincorporated community
"Barney, Brooks County, Georgia","unincorporated community in Georgia, United States","Barney, Brooks County, Georgia",Georgia,unincorporated community
"Barney, Georgia","unincorporated community in Georgia, United States","Barney, Georgia",Georgia,unincorporated community
Barretts Mill,"unincorporated community in Georgia, United States","Barretts Mill, Georgia",Georgia,unincorporated community
Barrettsville,"unincorporated community in Georgia, United States","Barrettsville, Georgia",Georgia,unincorporated community
Barrons Lane,"unincorporated community in Georgia, United States","Barrons Lane, Georgia",Georgia,unincorporated community
Barrow Heights,"unincorporated community in Georgia, United States","Barrow Heights, Georgia",Georgia,unincorporated community
Bastonville,"unincorporated community in Georgia, United States","Bastonville, Georgia",Georgia,unincorporated community
"Batesville, Georgia","unincorporated community in Georgia, United States","Batesville, Georgia",Georgia,unincorporated community
"Bath, Georgia","unincorporated community in Georgia, United States","Bath, Georgia",Georgia,unincorporated community
"Baughville, Georgia","unincorporated community in Georgia, United States","Baughville, Georgia",Georgia,unincorporated community
Beachton,"unincorporated community in Georgia, United States","Beachton, Georgia",Georgia,unincorporated community
"Belfast, Georgia","unincorporated community in Georgia, United States","Belfast, Georgia",Georgia,unincorporated community
"Bellview, Georgia","unincorporated community in Georgia, United States","Bellview, Georgia",Georgia,unincorporated community
"Belmont, Georgia","unincorporated community in Georgia, United States","Belmont, Georgia",Georgia,unincorporated community
Belvedere Park,"unincorporated community in Georgia, United States","Belvedere Park, Georgia",Georgia,unincorporated community
"Benedict, Georgia","unincorporated community in Georgia, United States","Benedict, Georgia",Georgia,unincorporated community
"Benefit, Georgia","unincorporated community in Georgia, United States","Benefit, Georgia",Georgia,unincorporated community
"Berryton, Georgia","unincorporated community in Georgia, United States","Berryton, Georgia",Georgia,unincorporated community
Bethany,"unincorporated community in Georgia, United States","Bethany, Georgia",Georgia,unincorporated community
"Bethesda, Chatham County, Georgia","unincorporated community in Georgia, United States","Bethesda, Chatham County, Georgia",Georgia,unincorporated community
"Bethesda, Greene County, Georgia","unincorporated community in Georgia, United States","Bethesda, Greene County, Georgia",Georgia,unincorporated community
Beulah,"unincorporated community in Georgia, United States","Beulah, Georgia",Georgia,unincorporated community
"Beverly, Georgia","unincorporated community in Georgia, United States","Beverly, Georgia",Georgia,unincorporated community
Bibb City,"unincorporated community in Georgia, United States","Bibb City, Georgia",Georgia,unincorporated community
"Bickley, Georgia","unincorporated community in Georgia, United States","Bickley, Georgia",Georgia,unincorporated community
Big Canoe,"unincorporated community in Georgia, United States","Big Canoe, Georgia",Georgia,unincorporated community
"Bill Arp, Georgia","unincorporated community in Georgia, United States","Bill Arp, Georgia",Georgia,unincorporated community
"Birdie, Georgia","unincorporated community in Georgia, United States","Birdie, Georgia",Georgia,unincorporated community
Black Creek,"unincorporated community in Georgia, United States","Black Creek, Georgia",Georgia,unincorporated community
Blacksville,"unincorporated community in Georgia, United States","Blacksville, Georgia",Georgia,unincorporated community
Blackwood,"unincorporated community in Georgia, United States","Blackwood, Georgia",Georgia,unincorporated community
"Blaine, Georgia","unincorporated community in Georgia, United States","Blaine, Georgia",Georgia,unincorporated community
"Blitchton, Georgia","unincorporated community in Georgia, United States","Blitchton, Georgia",Georgia,unincorporated community
"Bobo, Georgia","unincorporated community in Georgia, United States","Bobo, Georgia",Georgia,unincorporated community
"Bold Springs, Georgia","unincorporated community in Georgia, United States","Bold Springs, Georgia",Georgia,unincorporated community
"Bolingbroke, Georgia","unincorporated community in Georgia, United States","Bolingbroke, Georgia",Georgia,unincorporated community
"Bolivar, Georgia","unincorporated community in Georgia, United States","Bolivar, Georgia",Georgia,unincorporated community
"Bonaire, Georgia","unincorporated community in Georgia, United States","Bonaire, Georgia",Georgia,unincorporated community
"Boneville, Georgia","unincorporated community in Georgia, United States","Boneville, Georgia",Georgia,unincorporated community
"Boozeville, Georgia","unincorporated community in Georgia, United States","Boozeville, Georgia",Georgia,unincorporated community
"Bowdon Junction, Georgia","unincorporated community in Georgia, United States","Bowdon Junction, Georgia",Georgia,unincorporated community
"Bowens Mill, Georgia","unincorporated community in Georgia, United States","Bowens Mill, Georgia",Georgia,unincorporated community
Box Springs,"unincorporated community in Georgia, United States","Box Springs, Georgia",Georgia,unincorporated community
"Boykin, Georgia","unincorporated community in Georgia, United States","Boykin, Georgia",Georgia,unincorporated community
Boynton,"unincorporated community in Georgia, United States","Boynton, Georgia",Georgia,unincorporated community
"Bradley, Georgia","unincorporated community in Georgia, United States","Bradley, Georgia",Georgia,unincorporated community
Branchville,"unincorporated community in Georgia, United States","Branchville, Georgia",Georgia,unincorporated community
"Brewton, Georgia","unincorporated community in Georgia, United States","Brewton, Georgia",Georgia,unincorporated community
"Bridgeboro, Georgia","unincorporated community in Georgia, United States","Bridgeboro, Georgia",Georgia,unincorporated community
Bristol,"unincorporated community in Georgia, United States","Bristol, Georgia",Georgia,unincorporated community
"Bronco, Georgia","unincorporated community in Georgia, United States","Bronco, Georgia",Georgia,unincorporated community
"Brookfield, Georgia","unincorporated community in Georgia, United States","Brookfield, Georgia",Georgia,unincorporated community
"Brookton, Georgia","unincorporated community in Georgia, United States","Brookton, Georgia",Georgia,unincorporated community
"Browns Crossing, Georgia","unincorporated community in Georgia, United States","Browns Crossing, Georgia",Georgia,unincorporated community
"Brownsville, Georgia","unincorporated community in Georgia, United States","Brownsville, Georgia",Georgia,unincorporated community
"Brownwood, Morgan County, Georgia","unincorporated community in Georgia, United States","Brownwood, Morgan County, Georgia",Georgia,unincorporated community
Budapest,"unincorporated community in Georgia, United States","Budapest, Georgia",Georgia,unincorporated community
Buffington,"unincorporated community in Georgia, United States","Buffington, Georgia",Georgia,unincorporated community
"Bullard, Georgia","unincorporated community in Georgia, United States","Bullard, Georgia",Georgia,unincorporated community
Burning Bush,"unincorporated community in Georgia, United States","Burning Bush, Georgia",Georgia,unincorporated community
"Burtsboro, Georgia","unincorporated community in Georgia, United States","Burtsboro, Georgia",Georgia,unincorporated community
"Bushnell, Georgia","unincorporated community in Georgia, United States","Bushnell, Georgia",Georgia,unincorporated community
"Butts, Georgia","unincorporated community in Georgia, United States","Butts, Georgia",Georgia,unincorporated community
Cadley,"unincorporated community in Georgia, United States","Cadley, Georgia",Georgia,unincorporated community
Calvary,"unincorporated community in Georgia, United States","Calvary, Georgia",Georgia,unincorporated community
Campbellton,"unincorporated community in Georgia, United States","Campbellton, Georgia",Georgia,unincorporated community
Campton,"unincorporated community in Georgia, United States","Campton, Georgia",Georgia,unincorporated community
"Candler, Georgia","unincorporated community in Georgia, United States","Candler, Georgia",Georgia,unincorporated community
Candler-McAfee,"unincorporated community in Georgia, United States","Candler-McAfee, Georgia",Georgia,unincorporated community
"Carey, Georgia","unincorporated community in Georgia, United States","Carey, Georgia",Georgia,unincorporated community
"Carrs Station, Georgia","unincorporated community in Georgia, United States","Carrs Station, Georgia",Georgia,unincorporated community
"Carters, Georgia","unincorporated community in Georgia, United States","Carters, Georgia",Georgia,unincorporated community
"Cary, Georgia","unincorporated community in Georgia, United States","Cary, Georgia",Georgia,unincorporated community
Cash,"unincorporated community in Georgia, United States","Cash, Georgia",Georgia,unincorporated community
"Cassandra, Georgia","unincorporated community in Georgia, United States","Cassandra, Georgia",Georgia,unincorporated community
Cassville,"unincorporated community in Georgia, United States","Cassville, Georgia",Georgia,unincorporated community
Cataula,"unincorporated community in Georgia, United States","Cataula, Georgia",Georgia,unincorporated community
"Catoosa Springs, Georgia","unincorporated community in Georgia, United States","Catoosa Springs, Georgia",Georgia,unincorporated community
"Cedar Grove, Georgia","unincorporated community in Georgia, United States","Cedar Grove, Walker County, Georgia",Georgia,unincorporated community
"Cedar Grove, Laurens County, Georgia","unincorporated community in Georgia, United States","Cedar Grove, Laurens County, Georgia",Georgia,unincorporated community
"Cenchat, Georgia","unincorporated community in Georgia, United States","Cenchat, Georgia",Georgia,unincorporated community
"Center Point, Georgia","unincorporated community in Georgia, United States","Center Point, Georgia",Georgia,unincorporated community
"Center Post, Georgia","unincorporated community in Georgia, United States","Center Post, Georgia",Georgia,unincorporated community
"Centerville, Elbert County, Georgia","unincorporated community in Georgia, United States","Centerville, Elbert County, Georgia",Georgia,unincorporated community
"Centerville, Gwinnett County, Georgia","unincorporated community in Georgia, United States","Centerville, Gwinnett County, Georgia",Georgia,unincorporated community
"Centerville, Talbot County, Georgia","unincorporated community in Georgia, United States","Centerville, Talbot County, Georgia",Georgia,unincorporated community
"Centerville, Wilkes County, Georgia","unincorporated community in Georgia, United States","Centerville, Wilkes County, Georgia",Georgia,unincorporated community
Ceres,"unincorporated community in Georgia, United States","Ceres, Georgia",Georgia,unincorporated community
"Chalybeate Springs, Georgia","unincorporated community in Georgia, United States","Chalybeate Springs, Georgia",Georgia,unincorporated community
"Chapel Hill, Georgia","unincorporated community in Georgia, United States","Chapel Hill, Georgia",Georgia,unincorporated community
"Charing, Georgia","unincorporated community in Georgia, United States","Charing, Georgia",Georgia,unincorporated community
Chattahoochee Plantation,"unincorporated community in Georgia, United States","Chattahoochee Plantation, Georgia",Georgia,unincorporated community
"Chattoogaville, Georgia","unincorporated community in Georgia, United States","Chattoogaville, Georgia",Georgia,unincorporated community
"Chelsea, Georgia","unincorporated community in Georgia, United States","Chelsea, Georgia",Georgia,unincorporated community
"Chennault, Georgia","unincorporated community in Georgia, United States","Chennault, Georgia",Georgia,unincorporated community
Chestatee,"unincorporated community in Georgia, United States","Chestatee, Georgia",Georgia,unincorporated community
"Chestnut Mountain, Georgia","unincorporated community in Georgia, United States","Chestnut Mountain, Georgia",Georgia,unincorporated community
"Chestnutflat, Georgia","unincorporated community in Georgia, United States","Chestnutflat, Georgia",Georgia,unincorporated community
"Chickasawhatchee, Georgia","unincorporated community in Georgia, United States","Chickasawhatchee, Georgia",Georgia,unincorporated community
"Chicopee, Georgia","unincorporated community in Georgia, United States","Chicopee, Georgia",Georgia,unincorporated community
"Choestoe, Georgia","unincorporated community in Georgia, United States","Choestoe, Georgia",Georgia,unincorporated community
Chubbtown,"unincorporated community in Georgia, United States","Chubbtown, Georgia",Georgia,unincorporated community
"Chula, Georgia","unincorporated community in Georgia, United States","Chula, Georgia",Georgia,unincorporated community
"Chulio, Georgia","unincorporated community in Georgia, United States","Chulio, Georgia",Georgia,unincorporated community
"Cisco, Georgia","unincorporated community in Georgia, United States","Cisco, Georgia",Georgia,unincorporated community
Clarkdale,"unincorporated community in Georgia, United States","Clarkdale, Georgia",Georgia,unincorporated community
"Clinchfield, Georgia","unincorporated community in Georgia, United States","Clinchfield, Georgia",Georgia,unincorporated community
"Clinton, Georgia","unincorporated community in Georgia, United States","Clinton, Georgia",Georgia,unincorporated community
"Cloudland, Georgia","unincorporated community in Georgia, United States","Cloudland, Georgia",Georgia,unincorporated community
Clyattville,"unincorporated community in Georgia, United States","Clyattville, Georgia",Georgia,unincorporated community
"Clyo, Georgia","unincorporated community in Georgia, United States","Clyo, Georgia",Georgia,unincorporated community
Coal Mountain,"unincorporated community in Georgia, United States","Coal Mountain, Georgia",Georgia,unincorporated community
Cobb,"unincorporated community in Georgia, United States","Cobb, Georgia",Georgia,unincorporated community
"Cobbham, Georgia","unincorporated community in Georgia, United States","Cobbham, Georgia",Georgia,unincorporated community
Coffee,"unincorporated community in Georgia, United States","Coffee, Georgia",Georgia,unincorporated community
"Coldwater, Georgia","unincorporated community in Georgia, United States","Coldwater, Georgia",Georgia,unincorporated community
"Colima, Georgia","unincorporated community in Georgia, United States","Colima, Georgia",Georgia,unincorporated community
"Colomokee, Georgia","unincorporated community in Georgia, United States","Colomokee, Georgia",Georgia,unincorporated community
"Coney, Georgia","unincorporated community in Georgia, United States","Coney, Georgia",Georgia,unincorporated community
"Cooksville, Georgia","unincorporated community in Georgia, United States","Cooksville, Georgia",Georgia,unincorporated community
"Cooper Heights, Georgia","unincorporated community in Georgia, United States","Cooper Heights, Georgia",Georgia,unincorporated community
"Coopers, Georgia","unincorporated community in Georgia, United States","Coopers, Georgia",Georgia,unincorporated community
"Cooperville, Georgia","unincorporated community in Georgia, United States","Cooperville, Georgia",Georgia,unincorporated community
"Coosa, Georgia","unincorporated community in Georgia, United States","Coosa, Georgia",Georgia,unincorporated community
"Corbin, Georgia","unincorporated community in Georgia, United States","Corbin, Georgia",Georgia,unincorporated community
Corinth,"unincorporated community in Georgia, United States","Corinth, Georgia",Georgia,unincorporated community
"Corinth, Walker County, Georgia","unincorporated community in Georgia, United States","Corinth, Walker County, Georgia",Georgia,unincorporated community
"Cork, Georgia","unincorporated community in Georgia, United States","Cork, Georgia",Georgia,unincorporated community
"Cotton, Georgia","unincorporated community in Georgia, United States","Cotton, Georgia",Georgia,unincorporated community
"Crandall, Georgia","unincorporated community in Georgia, United States","Crandall, Georgia",Georgia,unincorporated community
"Crane Eater, Georgia","unincorporated community in Georgia, United States","Crane Eater, Georgia",Georgia,unincorporated community
"Craytonia, Georgia","unincorporated community in Georgia, United States","Craytonia, Georgia",Georgia,unincorporated community
Crescent,"unincorporated community in Georgia, United States","Crescent, Georgia",Georgia,unincorporated community
"Crest, Georgia","unincorporated community in Georgia, United States","Crest, Georgia",Georgia,unincorporated community
Crestview,"unincorporated community in Georgia, United States","Crestview, Georgia",Georgia,unincorporated community
Cuba,"unincorporated community in Georgia, United States","Cuba, Georgia",Georgia,unincorporated community
Culverton,"unincorporated community in Georgia, United States","Culverton, Georgia",Georgia,unincorporated community
"Cumberland, Georgia","unincorporated community in Georgia, United States","Cumberland, Georgia",Georgia,unincorporated community
"Cunningham, Georgia","unincorporated community in Georgia, United States","Cunningham, Georgia",Georgia,unincorporated community
"Curryville, Georgia","unincorporated community in Georgia, United States","Curryville, Georgia",Georgia,unincorporated community
"Cyrene, Georgia","unincorporated community in Georgia, United States","Cyrene, Georgia",Georgia,unincorporated community
"Dakota, Georgia","unincorporated community in Georgia, United States","Dakota, Georgia",Georgia,unincorporated community
Damascus,"unincorporated community in Georgia, United States","Damascus, Gordon County, Georgia",Georgia,unincorporated community
"Danburg, Georgia","unincorporated community in Georgia, United States","Danburg, Georgia",Georgia,unincorporated community
"Daniel Springs, Georgia","unincorporated community in Georgia, United States","Daniel Springs, Georgia",Georgia,unincorporated community
"Davis Crossroads, Georgia","unincorporated community in Georgia, United States","Davis Crossroads, Georgia",Georgia,unincorporated community
"Decora, Georgia","unincorporated community in Georgia, United States","Decora, Georgia",Georgia,unincorporated community
"Delhi, Georgia","unincorporated community in Georgia, United States","Delhi, Georgia",Georgia,unincorporated community
"Dennis, Murray County, Georgia","unincorporated community in Georgia, United States","Dennis, Murray County, Georgia",Georgia,unincorporated community
"Dennis, Putnam County, Georgia","unincorporated community in Georgia, United States","Dennis, Putnam County, Georgia",Georgia,unincorporated community
"Devereux, Georgia","unincorporated community in Georgia, United States","Devereux, Georgia",Georgia,unincorporated community
DeWitt,"unincorporated community in Georgia, United States","DeWitt, Georgia",Georgia,unincorporated community
"Diamond, Georgia","unincorporated community in Georgia, United States","Diamond, Georgia",Georgia,unincorporated community
"Dickey, Georgia","unincorporated community in Georgia, United States","Dickey, Georgia",Georgia,unincorporated community
Dixie,"unincorporated community in Georgia, United States","Dixie, Brooks County, Georgia",Georgia,unincorporated community
Dixie,"unincorporated community in Georgia, United States","Dixie, Newton County, Georgia",Georgia,unincorporated community
"Dixie Union, Georgia","unincorporated community in Georgia, United States","Dixie Union, Georgia",Georgia,unincorporated community
"Dog Crossing, Georgia","unincorporated community in Georgia, United States","Dog Crossing, Georgia",Georgia,unincorporated community
Donald,"unincorporated community in Georgia, United States","Donald, Georgia",Georgia,unincorporated community
Donovan,"unincorporated community in Georgia, United States","Donovan, Georgia",Georgia,unincorporated community
"Double Heads, Georgia","unincorporated community in Georgia, United States","Double Heads, Georgia",Georgia,unincorporated community
Doublegate,"unincorporated community in Georgia, United States","Doublegate, Georgia",Georgia,unincorporated community
"Dougherty, Georgia","unincorporated community in Georgia, United States","Dougherty, Georgia",Georgia,unincorporated community
"Dover, Georgia","unincorporated community in Georgia, United States","Dover, Georgia",Georgia,unincorporated community
"Doverel, Georgia","unincorporated community in Georgia, United States","Doverel, Georgia",Georgia,unincorporated community
"Draketown, Georgia","unincorporated community in Georgia, United States","Draketown, Georgia",Georgia,unincorporated community
"Drayton, Georgia","unincorporated community in Georgia, United States","Drayton, Georgia",Georgia,unincorporated community
"Drone, Georgia","unincorporated community in Georgia, United States","Drone, Georgia",Georgia,unincorporated community
"Dry Branch, Georgia","unincorporated community in Georgia, United States","Dry Branch, Georgia",Georgia,unincorporated community
"Dunbar, Georgia","unincorporated community in Georgia, United States","Dunbar, Georgia",Georgia,unincorporated community
Durand,"unincorporated community in Georgia, United States","Durand, Georgia",Georgia,unincorporated community
"Durham, Georgia","unincorporated community in Georgia, United States","Durham, Georgia",Georgia,unincorporated community
"Eagle Cliff, Georgia","unincorporated community in Georgia, United States","Eagle Cliff, Georgia",Georgia,unincorporated community
"East Armuchee, Georgia","unincorporated community in Georgia, United States","East Armuchee, Georgia",Georgia,unincorporated community
East Cobb,"unincorporated community in Georgia, United States","East Cobb, Georgia",Georgia,unincorporated community
"East Macon, Georgia","unincorporated community in Georgia, United States","East Macon, Georgia",Georgia,unincorporated community
Eastanollee,"unincorporated community in Georgia, United States","Eastanollee, Georgia",Georgia,unincorporated community
"Eastville, Georgia","unincorporated community in Georgia, United States","Eastville, Georgia",Georgia,unincorporated community
"Echeconnee, Georgia","unincorporated community in Georgia, United States","Echeconnee, Georgia",Georgia,unincorporated community
"Edith, Georgia","unincorporated community in Georgia, United States","Edith, Georgia",Georgia,unincorporated community
"Elberta, Georgia","unincorporated community in Georgia, United States","Elberta, Georgia",Georgia,unincorporated community
"Elder, Georgia","unincorporated community in Georgia, United States","Elder, Georgia",Georgia,unincorporated community
Eldorendo,"unincorporated community in Georgia, United States","Eldorendo, Georgia",Georgia,unincorporated community
"Elizabeth, Georgia","unincorporated community in Georgia, United States","Elizabeth, Georgia",Georgia,unincorporated community
"Elko, Georgia","unincorporated community in Georgia, United States","Elko, Georgia",Georgia,unincorporated community
Ellabell,"unincorporated community in Georgia, United States","Ellabell, Georgia",Georgia,unincorporated community
Ellenwood,"unincorporated community in Georgia, United States","Ellenwood, Georgia",Georgia,unincorporated community
"Ellerslie, Georgia","unincorporated community in Georgia, United States","Ellerslie, Georgia",Georgia,unincorporated community
Elmodel,"unincorporated community in Georgia, United States","Elmodel, Georgia",Georgia,unincorporated community
Embry Hills,"unincorporated community in Georgia, United States","Embry Hills, Georgia",Georgia,unincorporated community
"Empress, Georgia","unincorporated community in Georgia, United States","Empress, Georgia",Georgia,unincorporated community
