Name,Description,Alias,State,instance of
"Point Peter, Georgia","unincorporated community in Georgia, United States","Point Peter, Georgia",Georgia,unincorporated community
"Poplar Springs, Georgia","unincorporated community in Georgia, United States","Poplar Springs, Georgia",Georgia,unincorporated community
"Portland, Georgia","unincorporated community in Georgia, United States","Portland, Georgia",Georgia,unincorporated community
"Powelton, Georgia","unincorporated community in Georgia, United States","Powelton, Georgia",Georgia,unincorporated community
"Powers Park, Georgia","unincorporated community in Georgia, United States","Powers Park, Georgia",Georgia,unincorporated community
Preston,"unincorporated community in Georgia, United States","Preston, Georgia",Georgia,unincorporated community
Pretoria,"unincorporated community in Georgia, United States","Pretoria, Georgia",Georgia,unincorporated community
"Primrose, Georgia","unincorporated community in Georgia, United States","Primrose, Georgia",Georgia,unincorporated community
"Prospect, Georgia","unincorporated community in Georgia, United States","Prospect, Georgia",Georgia,unincorporated community
"Protection, Georgia","unincorporated community in Georgia, United States","Protection, Georgia",Georgia,unincorporated community
"Providence Ferry, Georgia","unincorporated community in Georgia, United States","Providence Ferry, Georgia",Georgia,unincorporated community
"Pumpkin, Georgia","unincorporated community in Georgia, United States","Pumpkin, Georgia",Georgia,unincorporated community
Putney,"unincorporated community in Georgia, United States","Putney, Georgia",Georgia,unincorporated community
Pyles Marsh,"unincorporated community in Georgia, United States","Pyles Marsh, Georgia",Georgia,unincorporated community
Queensland,"unincorporated community in Georgia, United States","Queensland, Georgia",Georgia,unincorporated community
"Quill, Georgia","unincorporated community in Georgia, United States","Quill, Georgia",Georgia,unincorporated community
"Rabun Gap, Georgia","unincorporated community in Georgia, United States","Rabun Gap, Georgia",Georgia,unincorporated community
Radium Springs,"unincorporated community in Georgia, United States","Radium Springs, Georgia",Georgia,unincorporated community
"Raleigh, Georgia","unincorporated community in Georgia, United States","Raleigh, Georgia",Georgia,unincorporated community
"Ramhurst, Georgia","unincorporated community in Georgia, United States","Ramhurst, Georgia",Georgia,unincorporated community
Raoul,"unincorporated community in Georgia, United States","Raoul, Georgia",Georgia,unincorporated community
Raymond,"unincorporated community in Georgia, United States","Raymond, Georgia",Georgia,unincorporated community
"Raysville, Georgia","unincorporated community in Georgia, United States","Raysville, Georgia",Georgia,unincorporated community
"Raytown, Georgia","unincorporated community in Georgia, United States","Raytown, Georgia",Georgia,unincorporated community
"Recovery, Georgia","unincorporated community in Georgia, United States","Recovery, Georgia",Georgia,unincorporated community
Red Bud,"unincorporated community in Georgia, United States","Red Bud, Georgia",Georgia,unincorporated community
"Red Clay, Georgia","unincorporated community in Georgia, United States","Red Clay, Georgia",Georgia,unincorporated community
Red Oak,"unincorporated community in Georgia, United States","Red Oak, Georgia",Georgia,unincorporated community
"Reeves, Georgia","unincorporated community in Georgia, United States","Reeves, Georgia",Georgia,unincorporated community
"Rehoboth, DeKalb County, Georgia","unincorporated community in Georgia, United States","Rehoboth, DeKalb County, Georgia",Georgia,unincorporated community
"Relee, Georgia","unincorporated community in Georgia, United States","Relee, Georgia",Georgia,unincorporated community
"Remus, Georgia","unincorporated community in Georgia, United States","Remus, Georgia",Georgia,unincorporated community
Rex,"unincorporated community in Georgia, United States","Rex, Georgia",Georgia,unincorporated community
"Richwood, Georgia","unincorporated community in Georgia, United States","Richwood, Georgia",Georgia,unincorporated community
"Ridgeville, Georgia","unincorporated community in Georgia, United States","Ridgeville, Georgia",Georgia,unincorporated community
"Rio, Georgia","unincorporated community in Georgia, United States","Rio, Georgia",Georgia,unincorporated community
"Ripley, Georgia","unincorporated community in Georgia, United States","Ripley, Georgia",Georgia,unincorporated community
Rising Fawn,"unincorporated community in Georgia, United States","Rising Fawn, Georgia",Georgia,unincorporated community
"Rivertown, Georgia","unincorporated community in Georgia, United States","Rivertown, Georgia",Georgia,unincorporated community
"Robertstown, Georgia","unincorporated community in Georgia, United States","Robertstown, Georgia",Georgia,unincorporated community
"Rock Branch, Georgia","unincorporated community in Georgia, United States","Rock Branch, Georgia",Georgia,unincorporated community
"Rock Hill, Georgia","unincorporated community in Georgia, United States","Rock Hill, Georgia",Georgia,unincorporated community
Rock Spring,"unincorporated community in Georgia, United States","Rock Spring, Georgia",Georgia,unincorporated community
Rockbridge,"unincorporated community in Georgia, United States","Rockbridge, Georgia",Georgia,unincorporated community
Rockingham,"unincorporated community in Georgia, United States","Rockingham, Georgia",Georgia,unincorporated community
"Rockledge, Georgia","unincorporated community in Georgia, United States","Rockledge, Georgia",Georgia,unincorporated community
"Rocky Face, Georgia","unincorporated community in Georgia, United States","Rocky Face, Georgia",Georgia,unincorporated community
"Rocky Mount, Georgia","unincorporated community in Georgia, United States","Rocky Mount, Georgia",Georgia,unincorporated community
Rogerville,"unincorporated community in Georgia, United States","Rogerville, Georgia",Georgia,unincorporated community
"Rollins, Georgia","unincorporated community in Georgia, United States","Rollins, Georgia",Georgia,unincorporated community
"Roosevelt, Georgia","unincorporated community in Georgia, United States","Roosevelt, Georgia",Georgia,unincorporated community
"Roosterville, Georgia","unincorporated community in Georgia, United States","Roosterville, Georgia",Georgia,unincorporated community
"Roscoe, Georgia","unincorporated community in Georgia, United States","Roscoe, Georgia",Georgia,unincorporated community
Rosebud,"unincorporated community in Georgia, United States","Rosebud, Georgia",Georgia,unincorporated community
"Round Oak, Georgia","unincorporated community in Georgia, United States","Round Oak, Georgia",Georgia,unincorporated community
"Rowena, Georgia","unincorporated community in Georgia, United States","Rowena, Georgia",Georgia,unincorporated community
Rowland Springs,"unincorporated community in Georgia, United States","Rowland Springs, Georgia",Georgia,unincorporated community
"Roxana, Georgia","unincorporated community in Georgia, United States","Roxana, Georgia",Georgia,unincorporated community
"Ruckersville, Georgia","unincorporated community in Georgia, United States","Ruckersville, Georgia",Georgia,unincorporated community
"Rupert, Georgia","unincorporated community in Georgia, United States","Rupert, Georgia",Georgia,unincorporated community
"Ruskin, Georgia","unincorporated community in Georgia, United States","Ruskin, Georgia",Georgia,unincorporated community
Russell,"unincorporated community in Georgia, United States","Russell, Georgia",Georgia,unincorporated community
"Russellville, Georgia","unincorporated community in Georgia, United States","Russellville, Georgia",Georgia,unincorporated community
"Rutland, Georgia","unincorporated community in Georgia, United States","Rutland, Georgia",Georgia,unincorporated community
Rydal,"unincorporated community in Georgia, United States","Rydal, Georgia",Georgia,unincorporated community
"Ryo, Georgia","unincorporated community in Georgia, United States","Ryo, Georgia",Georgia,unincorporated community
Saco,"unincorporated community in Georgia, United States","Saco, Georgia",Georgia,unincorporated community
"Saffold, Georgia","unincorporated community in Georgia, United States","Saffold, Georgia",Georgia,unincorporated community
"Saint Charles, Georgia","unincorporated community in Georgia, United States","Saint Charles, Georgia",Georgia,unincorporated community
"Saint Clair, Georgia","unincorporated community in Georgia, United States","Saint Clair, Georgia",Georgia,unincorporated community
Saint George,"unincorporated community in Georgia, United States","Saint George, Georgia",Georgia,unincorporated community
"Saint Marks, Georgia","unincorporated community in Georgia, United States","Saint Marks, Georgia",Georgia,unincorporated community
"Salem, Oconee County, Georgia","unincorporated community in Georgia, United States","Salem, Oconee County, Georgia",Georgia,unincorporated community
"Sand Hill, Georgia","unincorporated community in Georgia, United States","Sand Hill, Georgia",Georgia,unincorporated community
Sandfly,"unincorporated community in Georgia, United States","Sandfly, Georgia",Georgia,unincorporated community
"Sandtown, Georgia","unincorporated community in Georgia, United States","Sandtown, Georgia",Georgia,unincorporated community
"Sandy Cross, Georgia","unincorporated community in Georgia, United States","Sandy Cross, Georgia",Georgia,unincorporated community
"Sanford, Georgia","unincorporated community in Georgia, United States","Sanford, Georgia",Georgia,unincorporated community
Sapps Still,"unincorporated community in Georgia, United States","Sapps Still, Georgia",Georgia,unincorporated community
Sargent,"unincorporated community in Georgia, United States","Sargent, Georgia",Georgia,unincorporated community
Satilla,"unincorporated community in Georgia, United States","Satilla, Georgia",Georgia,unincorporated community
"Satolah, Georgia","unincorporated community in Georgia, United States","Satolah, Georgia",Georgia,unincorporated community
Sautee Nacoochee,"unincorporated community in Georgia, United States","Sautee Nacoochee, Georgia",Georgia,unincorporated community
"Sawdust, Georgia","unincorporated community in Georgia, United States","Sawdust, Georgia",Georgia,unincorporated community
"Scarboro, Georgia","unincorporated community in Georgia, United States","Scarboro, Georgia",Georgia,unincorporated community
"Scorpion Hollow, Georgia","unincorporated community in Georgia, United States","Scorpion Hollow, Georgia",Georgia,unincorporated community
"Scott, Georgia","unincorporated community in Georgia, United States","Scott, Georgia",Georgia,unincorporated community
"Scottsboro, Georgia","unincorporated community in Georgia, United States","Scottsboro, Georgia",Georgia,unincorporated community
"Seabrook, Georgia","unincorporated community in Georgia, United States","Seabrook, Georgia",Georgia,unincorporated community
Seals,"unincorporated community in Georgia, United States","Seals, Georgia",Georgia,unincorporated community
"Seville, Georgia","unincorporated community in Georgia, United States","Seville, Georgia",Georgia,unincorporated community
"Shake Rag, Georgia","unincorporated community in Georgia, United States","Shake Rag, Georgia",Georgia,unincorporated community
Shannon,"unincorporated community in Georgia, United States","Shannon, Georgia",Georgia,unincorporated community
"Sharp Mountain Preserve, Georgia","unincorporated community in Georgia, United States","Sharp Mountain Preserve, Georgia",Georgia,unincorporated community
"Shawnee, Georgia","unincorporated community in Georgia, United States","Shawnee, Georgia",Georgia,unincorporated community
"Shell Bluff, Georgia","unincorporated community in Georgia, United States","Shell Bluff, Georgia",Georgia,unincorporated community
"Shingler, Georgia","unincorporated community in Georgia, United States","Shingler, Georgia",Georgia,unincorporated community
"Shoulderbone, Georgia","unincorporated community in Georgia, United States","Shoulderbone, Georgia",Georgia,unincorporated community
"Silco, Georgia","unincorporated community in Georgia, United States","Silco, Georgia",Georgia,unincorporated community
"Silk Hope, Georgia","unincorporated community in Georgia, United States","Silk Hope, Georgia",Georgia,unincorporated community
"Silver City, Georgia","unincorporated community in Georgia, United States","Silver City, Georgia",Georgia,unincorporated community
Silver Creek,"unincorporated community in Georgia, United States","Silver Creek, Georgia",Georgia,unincorporated community
"Silver Hill, Charlton County, Georgia","unincorporated community in Georgia, United States","Silver Hill, Charlton County, Georgia",Georgia,unincorporated community
"Silver Hill, Georgia","unincorporated community in Georgia, United States","Silver Hill, Chattooga County, Georgia",Georgia,unincorporated community
"Six Mile, Georgia","unincorporated community in Georgia, United States","Six Mile, Georgia",Georgia,unincorporated community
Sixes,"unincorporated community in Georgia, United States","Sixes, Georgia",Georgia,unincorporated community
Skullhead,"unincorporated community in Georgia, United States","Skullhead, Georgia",Georgia,unincorporated community
"Smarr, Georgia","unincorporated community in Georgia, United States","Smarr, Georgia",Georgia,unincorporated community
"Smithonia, Georgia","unincorporated community in Georgia, United States","Smithonia, Georgia",Georgia,unincorporated community
"Smithsonia, Georgia","unincorporated community in Georgia, United States","Smithsonia, Georgia",Georgia,unincorporated community
Smoke Rise,"unincorporated community in Georgia, United States","Smoke Rise, Georgia",Georgia,unincorporated community
Snapfinger,"unincorporated community in Georgia, United States","Snapfinger, Georgia",Georgia,unincorporated community
"Snead, Georgia","unincorporated community in Georgia, United States","Snead, Georgia",Georgia,unincorporated community
Snow Spring,"unincorporated community in Georgia, United States","Snow Spring, Georgia",Georgia,unincorporated community
"Soapstick, Georgia","unincorporated community in Georgia, United States","Soapstick, Georgia",Georgia,unincorporated community
Sofkee,"unincorporated community in Georgia, United States","Sofkee, Georgia",Georgia,unincorporated community
Sonoraville,"unincorporated community in Georgia, United States","Sonoraville, Georgia",Georgia,unincorporated community
"South Newport, Georgia","unincorporated community in Georgia, United States","South Newport, Georgia",Georgia,unincorporated community
"Spalding, Georgia","unincorporated community in Georgia, United States","Spalding, Georgia",Georgia,unincorporated community
"Split Silk, Georgia","unincorporated community in Georgia, United States","Split Silk, Georgia",Georgia,unincorporated community
Spring Bluff,"unincorporated community in Georgia, United States","Spring Bluff, Georgia",Georgia,unincorporated community
"Spring Hill, Georgia","unincorporated community in Georgia, United States","Spring Hill, Georgia",Georgia,unincorporated community
"Spring Place, Georgia","unincorporated community in Georgia, United States","Spring Place, Georgia",Georgia,unincorporated community
"Springvale, Georgia","unincorporated community in Georgia, United States","Springvale, Georgia",Georgia,unincorporated community
"Stark, Georgia","unincorporated community in Georgia, United States","Stark, Georgia",Georgia,unincorporated community
Starrs Mill,"unincorporated community in Georgia, United States","Starrs Mill, Georgia",Georgia,unincorporated community
Starrsville,"unincorporated community in Georgia, United States","Starrsville, Georgia",Georgia,unincorporated community
Statenville,"unincorporated community in Georgia, United States","Statenville, Georgia",Georgia,unincorporated community
"Steam Mill, Georgia","unincorporated community in Georgia, United States","Steam Mill, Georgia",Georgia,unincorporated community
"Stellaville, Georgia","unincorporated community in Georgia, United States","Stellaville, Georgia",Georgia,unincorporated community
"Stephens, Georgia","unincorporated community in Georgia, United States","Stephens, Georgia",Georgia,unincorporated community
Stilesboro,"unincorporated community in Georgia, United States","Stilesboro, Georgia",Georgia,unincorporated community
Stockton,"unincorporated community in Georgia, United States","Stockton, Georgia",Georgia,unincorporated community
"Stonewall, Georgia","unincorporated community in Georgia, United States","Stonewall, Georgia",Georgia,unincorporated community
"Strouds, Georgia","unincorporated community in Georgia, United States","Strouds, Georgia",Georgia,unincorporated community
"Stuckey, Georgia","unincorporated community in Georgia, United States","Stuckey, Georgia",Georgia,unincorporated community
"Subligna, Georgia","unincorporated community in Georgia, United States","Subligna, Georgia",Georgia,unincorporated community
"Suches, Georgia","unincorporated community in Georgia, United States","Suches, Georgia",Georgia,unincorporated community
"Sudie, Georgia","unincorporated community in Georgia, United States","Sudie, Georgia",Georgia,unincorporated community
Sugar Valley,"unincorporated community in Georgia, United States","Sugar Valley, Georgia",Georgia,unincorporated community
"Sumac, Georgia","unincorporated community in Georgia, United States","Sumac, Georgia",Georgia,unincorporated community
"Sumter, Georgia","unincorporated community in Georgia, United States","Sumter, Georgia",Georgia,unincorporated community
"Sun Hill, Georgia","unincorporated community in Georgia, United States","Sun Hill, Georgia",Georgia,unincorporated community
"Sunbury, Georgia","unincorporated community in Georgia, United States","Sunbury, Georgia",Georgia,unincorporated community
"Sunsweet, Georgia","unincorporated community in Georgia, United States","Sunsweet, Georgia",Georgia,unincorporated community
Sutallee,"unincorporated community in Georgia, United States","Sutallee, Georgia",Georgia,unincorporated community
"Suttons Corner, Georgia","unincorporated community in Georgia, United States","Suttons Corner, Georgia",Georgia,unincorporated community
"Sweet Gum, Georgia","unincorporated community in Georgia, United States","Sweet Gum, Georgia",Georgia,unincorporated community
"Swift Creek, Georgia","unincorporated community in Georgia, United States","Swift Creek, Georgia",Georgia,unincorporated community
"Swords, Georgia","unincorporated community in Georgia, United States","Swords, Georgia",Georgia,unincorporated community
Tails Creek,"unincorporated community in Georgia, United States","Tails Creek, Georgia",Georgia,unincorporated community
"Tallahassee, Georgia","unincorporated community in Georgia, United States","Tallahassee, Georgia",Georgia,unincorporated community
"Talona, Georgia","unincorporated community in Georgia, United States","Talona, Georgia",Georgia,unincorporated community
"Tarversville, Georgia","unincorporated community in Georgia, United States","Tarversville, Georgia",Georgia,unincorporated community
"Tate City, Georgia","unincorporated community in Georgia, United States","Tate City, Georgia",Georgia,unincorporated community
"Tate City, Georgia","unincorporated community in Georgia, United States","Tate, Georgia",Georgia,unincorporated community
"Tax Crossroads, Georgia","unincorporated community in Georgia, United States","Tax Crossroads, Georgia",Georgia,unincorporated community
"Tazewell, Georgia","unincorporated community in Georgia, United States","Tazewell, Georgia",Georgia,unincorporated community
"Telfair Woods, Georgia","unincorporated community in Georgia, United States","Telfair Woods, Georgia",Georgia,unincorporated community
"Teloga, Georgia","unincorporated community in Georgia, United States","Teloga, Georgia",Georgia,unincorporated community
"Temperance Bell, Georgia","unincorporated community in Georgia, United States","Temperance Bell, Georgia",Georgia,unincorporated community
"Temperance, Georgia","unincorporated community in Georgia, United States","Temperance, Georgia",Georgia,unincorporated community
"Tennga, Georgia","unincorporated community in Georgia, United States","Tennga, Georgia",Georgia,unincorporated community
"Terrell, Georgia","unincorporated community in Georgia, United States","Terrell, Georgia",Georgia,unincorporated community
"Tesnatee, Georgia","unincorporated community in Georgia, United States","Tesnatee, Georgia",Georgia,unincorporated community
"Texas, Georgia","unincorporated community in Georgia, United States","Texas, Georgia",Georgia,unincorporated community
The Rock,"unincorporated community in Georgia, United States","The Rock, Georgia",Georgia,unincorporated community
Thomas Crossroads,"unincorporated community in Georgia, United States","Thomas Crossroads, Georgia",Georgia,unincorporated community
"Tickanetley, Georgia","unincorporated community in Georgia, United States","Tickanetley, Georgia",Georgia,unincorporated community
"Tippettville, Georgia","unincorporated community in Georgia, United States","Tippettville, Georgia",Georgia,unincorporated community
"Toledo, Georgia","unincorporated community in Georgia, United States","Toledo, Georgia",Georgia,unincorporated community
"Towalaga, Georgia","unincorporated community in Georgia, United States","Towalaga, Georgia",Georgia,unincorporated community
Towne Lake,"unincorporated community in Georgia, United States",Towne Lake,Georgia,unincorporated community
"Towns, Georgia","unincorporated community in Georgia, United States","Towns, Georgia",Georgia,unincorporated community
Townsend,"unincorporated community in Georgia, United States","Townsend, Georgia",Georgia,unincorporated community
"Travellers Rest, Macon County, Georgia","unincorporated community in Georgia, United States","Travellers Rest, Macon County, Georgia",Georgia,unincorporated community
"Treadwell, Georgia","unincorporated community in Georgia, United States","Treadwell, Georgia",Georgia,unincorporated community
Tributary,"unincorporated community in Georgia, United States","Tributary, Georgia",Georgia,unincorporated community
"Troupville, Georgia","unincorporated community in Georgia, United States","Troupville, Georgia",Georgia,unincorporated community
"Turnerville, Georgia","unincorporated community in Georgia, United States","Turnerville, Georgia",Georgia,unincorporated community
"Tweed, Georgia","unincorporated community in Georgia, United States","Tweed, Georgia",Georgia,unincorporated community
"Twin Lakes, Georgia","unincorporated community in Georgia, United States","Twin Lakes, Georgia",Georgia,unincorporated community
"Tyree, Georgia","unincorporated community in Georgia, United States","Tyree, Georgia",Georgia,unincorporated community
"Tyus, Georgia","unincorporated community in Georgia, United States","Tyus, Georgia",Georgia,unincorporated community
"Undine, Georgia","unincorporated community in Georgia, United States","Undine, Georgia",Georgia,unincorporated community
"Unity, Georgia","unincorporated community in Georgia, United States","Unity, Georgia",Georgia,unincorporated community
Univeter,"unincorporated community in Georgia, United States","Univeter, Georgia",Georgia,unincorporated community
"Upatoi, Georgia","unincorporated community in Georgia, United States","Upatoi, Georgia",Georgia,unincorporated community
"Uptonville, Georgia","unincorporated community in Georgia, United States","Uptonville, Georgia",Georgia,unincorporated community
"Urquhart, Georgia","unincorporated community in Georgia, United States","Urquhart, Georgia",Georgia,unincorporated community
"Vada, Georgia","unincorporated community in Georgia, United States","Vada, Georgia",Georgia,unincorporated community
"Valona, Georgia","unincorporated community in Georgia, United States","Valona, Georgia",Georgia,unincorporated community
"Van Wert, Georgia","unincorporated community in Georgia, United States","Van Wert, Georgia",Georgia,unincorporated community
"Vanna, Georgia","unincorporated community in Georgia, United States","Vanna, Georgia",Georgia,unincorporated community
"Vans Valley, Georgia","unincorporated community in Georgia, United States","Vans Valley, Georgia",Georgia,unincorporated community
"Veazey, Georgia","unincorporated community in Georgia, United States","Veazey, Georgia",Georgia,unincorporated community
"Vega, Georgia","unincorporated community in Georgia, United States","Vega, Georgia",Georgia,unincorporated community
"Vesta, Georgia","unincorporated community in Georgia, United States","Vesta, Georgia",Georgia,unincorporated community
"Victoria, Georgia","unincorporated community in Georgia, United States","Victoria, Georgia",Georgia,unincorporated community
"Villanow, Georgia","unincorporated community in Georgia, United States","Villanow, Georgia",Georgia,unincorporated community
"Viola, Georgia","unincorporated community in Georgia, United States","Viola, Georgia",Georgia,unincorporated community
Walden,"unincorporated community in Georgia, United States","Walden, Georgia",Georgia,unincorporated community
"Walkersville, Georgia","unincorporated community in Georgia, United States","Walkersville, Georgia",Georgia,unincorporated community
"Walls Crossing, Georgia","unincorporated community in Georgia, United States","Walls Crossing, Georgia",Georgia,unincorporated community
"Waresboro, Georgia","unincorporated community in Georgia, United States","Waresboro, Georgia",Georgia,unincorporated community
"Warthen, Georgia","unincorporated community in Georgia, United States","Warthen, Georgia",Georgia,unincorporated community
Waterloo,"unincorporated community in Georgia, United States","Waterloo, Georgia",Georgia,unincorporated community
Waverly,"unincorporated community in Georgia, United States","Waverly, Georgia",Georgia,unincorporated community
Waynesville,"unincorporated community in Georgia, United States","Waynesville, Georgia",Georgia,unincorporated community
"Welcome, Georgia","unincorporated community in Georgia, United States","Welcome, Georgia",Georgia,unincorporated community
"Wesley, Georgia","unincorporated community in Georgia, United States","Wesley, Georgia",Georgia,unincorporated community
West Green,"unincorporated community in Georgia, United States","West Green, Georgia",Georgia,unincorporated community
Weston,"unincorporated community in Georgia, United States","Weston, Georgia",Georgia,unincorporated community
Westside,"unincorporated community in Georgia, United States","Westside, Georgia",Georgia,unincorporated community
Whistleville,"unincorporated community in Georgia, United States","Whistleville, Georgia",Georgia,unincorporated community
White Bluff,"unincorporated community in Georgia, United States","White Bluff, Georgia",Georgia,unincorporated community
"White City, Georgia","unincorporated community in Georgia, United States","White City, Georgia",Georgia,unincorporated community
White Oak,"unincorporated community in Georgia, United States","White Oak, Georgia",Georgia,unincorporated community
"White Path, Georgia","unincorporated community in Georgia, United States","White Path, Georgia",Georgia,unincorporated community
"White Sulphur Springs, Hall County, Georgia","unincorporated community in Georgia, United States","White Sulphur Springs, Hall County, Georgia",Georgia,unincorporated community
"White Sulphur Springs, Meriwether County, Georgia","unincorporated community in Georgia, United States","White Sulphur Springs, Meriwether County, Georgia",Georgia,unincorporated community
"Whitehouse, Georgia","unincorporated community in Georgia, United States","Whitehouse, Georgia",Georgia,unincorporated community
"Whitesville, Georgia","unincorporated community in Georgia, United States","Whitesville, Georgia",Georgia,unincorporated community
Wildwood,"unincorporated community in Georgia, United States","Wildwood, Georgia",Georgia,unincorporated community
"Wiley, Georgia","unincorporated community in Georgia, United States","Wiley, Georgia",Georgia,unincorporated community
Willard,"unincorporated community in Georgia, United States","Willard, Georgia",Georgia,unincorporated community
"Williamsburg, Calhoun County, Georgia","unincorporated community in Georgia, United States","Williamsburg, Calhoun County, Georgia",Georgia,unincorporated community
"Williamsburg, Clinch County, Georgia","unincorporated community in Georgia, United States","Williamsburg, Clinch County, Georgia",Georgia,unincorporated community
"Winchester, Georgia","unincorporated community in Georgia, United States","Winchester, Georgia",Georgia,unincorporated community
"Windsor, Georgia","unincorporated community in Georgia, United States","Windsor, Georgia",Georgia,unincorporated community
"Winfield, Georgia","unincorporated community in Georgia, United States","Winfield, Georgia",Georgia,unincorporated community
Winston,"unincorporated community in Georgia, United States","Winston, Georgia",Georgia,unincorporated community
"Wood Station, Georgia","unincorporated community in Georgia, United States","Wood Station, Georgia",Georgia,unincorporated community
"Wooster, Georgia","unincorporated community in Georgia, United States","Wooster, Georgia",Georgia,unincorporated community
"Workmore, Georgia","unincorporated community in Georgia, United States","Workmore, Georgia",Georgia,unincorporated community
"Worth, Georgia","unincorporated community in Georgia, United States","Worth, Georgia",Georgia,unincorporated community
"Worthville, Georgia","unincorporated community in Georgia, United States","Worthville, Georgia",Georgia,unincorporated community
"Wray, Georgia","unincorporated community in Georgia, United States","Wray, Georgia",Georgia,unincorporated community
"Wrightsboro, Georgia","unincorporated community in Georgia, United States","Wrightsboro, Georgia",Georgia,unincorporated community
Yellowdirt,"unincorporated community in Georgia, United States","Yellowdirt, Georgia",Georgia,unincorporated community
"Yonah, Georgia","unincorporated community in Georgia, United States","Yonah, Georgia",Georgia,unincorporated community
"Yonkers, Georgia","unincorporated community in Georgia, United States","Yonkers, Georgia",Georgia,unincorporated community
"York, Georgia","unincorporated community in Georgia, United States","York, Georgia",Georgia,unincorporated community
"Youth, Georgia","unincorporated community in Georgia, United States","Youth, Georgia",Georgia,unincorporated community
"Ypsilanti, Georgia","unincorporated community in Georgia, United States","Ypsilanti, Georgia",Georgia,unincorporated community
"Yukon, Georgia","unincorporated community in Georgia, United States","Yukon, Georgia",Georgia,unincorporated community
"Zenith, Georgia","unincorporated community in Georgia, United States","Zenith, Georgia",Georgia,unincorporated community
Zetto,"unincorporated community in Georgia, United States","Zetto, Georgia",Georgia,unincorporated community
Zuta,"unincorporated community in Georgia, United States","Zuta, Georgia",Georgia,unincorporated community